

Data analysis for each instance 
AVG,MED,MAX,MIN
0.959,0.959,0.959,0.959,
0.975,0.975,0.975,0.975,
0.916,0.916,0.916,0.916,
1,1,1,1,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.964,0.964,0.964,0.964,
0.953,0.953,0.953,0.953,
0.963,0.963,0.963,0.963,
0.884,0.884,0.884,0.884,
0.963,0.963,0.963,0.963,
0.961,0.961,0.961,0.961,
0.982,0.982,0.982,0.982,
0.881,0.881,0.881,0.881,
0.985,0.985,0.985,0.985,
0.976,0.976,0.976,0.976,
0.962,0.962,0.962,0.962,
0.943,0.943,0.943,0.943,
0.975,0.975,0.975,0.975,
0.879,0.879,0.879,0.879,
1,1,1,1,
0.988,0.988,0.988,0.988,
0.969,0.969,0.969,0.969,
0.985,0.985,0.985,0.985,
0.979,0.979,0.979,0.979,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.998,0.998,0.998,0.998,
0.997,0.997,0.997,0.997,
0.889,0.889,0.889,0.889,
0.966,0.966,0.966,0.966,
0.971,0.971,0.971,0.971,
1,1,1,1,
0.979,0.979,0.979,0.979,
0.985,0.985,0.985,0.985,
1,1,1,1,
0.907,0.907,0.907,0.907,
0.958,0.958,0.958,0.958,
0.958,0.958,0.958,0.958,
0.982,0.982,0.982,0.982,
0.958,0.958,0.958,0.958,
1,1,1,1,
0.991,0.991,0.991,0.991,
0.998,0.998,0.998,0.998,
1,1,1,1,
1,1,1,1,
0.991,0.991,0.991,0.991,
0.973,0.973,0.973,0.973,
0.999,0.999,0.999,0.999,
1,1,1,1,
0.962,0.962,0.962,0.962,
0.973,0.973,0.973,0.973,
0.969,0.969,0.969,0.969,
1,1,1,1,
0.932,0.932,0.932,0.932,
1,1,1,1,
0.963,0.963,0.963,0.963,
0.97,0.97,0.97,0.97,
0.987,0.987,0.987,0.987,
0.947,0.947,0.947,0.947,
0.985,0.985,0.985,0.985,
1,1,1,1,
0.973,0.973,0.973,0.973,
0.978,0.978,0.978,0.978,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.957,0.957,0.957,0.957,
0.867,0.867,0.867,0.867,
0.978,0.978,0.978,0.978,
0.939,0.939,0.939,0.939,
1,1,1,1,
0.954,0.954,0.954,0.954,
0.988,0.988,0.988,0.988,
0.908,0.908,0.908,0.908,
0.952,0.952,0.952,0.952,
0.984,0.984,0.984,0.984,
1,1,1,1,
0.983,0.983,0.983,0.983,
0.958,0.958,0.958,0.958,
0.997,0.997,0.997,0.997,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.986,0.986,0.986,0.986,
0.909,0.909,0.909,0.909,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.945,0.945,0.945,0.945,
0.966,0.966,0.966,0.966,
0.974,0.974,0.974,0.974,
0.993,0.993,0.993,0.993,
1,1,1,1,
0.912,0.912,0.912,0.912,
0.95,0.95,0.95,0.95,
0.961,0.961,0.961,0.961,
1,1,1,1,
0.921,0.921,0.921,0.921,
0.993,0.993,0.993,0.993,


0.951,0.951,0.951,0.951,
0.944,0.944,0.944,0.944,
0.897,0.897,0.897,0.897,
0.974,0.974,0.974,0.974,
0.976,0.976,0.976,0.976,
1,1,1,1,
1,1,1,1,
0.997,0.997,0.997,0.997,
1,1,1,1,
0.923,0.923,0.923,0.923,
0.977,0.977,0.977,0.977,
0.983,0.983,0.983,0.983,
0.955,0.955,0.955,0.955,
1,1,1,1,
0.957,0.957,0.957,0.957,
0.993,0.993,0.993,0.993,
0.942,0.942,0.942,0.942,
0.958,0.958,0.958,0.958,
0.996,0.996,0.996,0.996,
0.903,0.903,0.903,0.903,
0.969,0.969,0.969,0.969,
0.949,0.949,0.949,0.949,
0.899,0.899,0.899,0.899,
0.967,0.967,0.967,0.967,
0.963,0.963,0.963,0.963,
0.986,0.986,0.986,0.986,
0.912,0.912,0.912,0.912,
0.994,0.994,0.994,0.994,
0.977,0.977,0.977,0.977,
0.891,0.891,0.891,0.891,
0.847,0.847,0.847,0.847,
0.983,0.983,0.983,0.983,
