

Data analysis for each instance 
AVG,MED,MAX,MIN
1,1,1,1,
0.973,0.973,0.973,0.973,
0.998,0.998,0.998,0.998,
1,1,1,1,
0.941,0.941,0.941,0.941,
0.981,0.981,0.981,0.981,
1,1,1,1,
1,1,1,1,
0.979,0.979,0.979,0.979,
0.971,0.971,0.971,0.971,
1,1,1,1,
0.985,0.985,0.985,0.985,
1,1,1,1,
0.953,0.953,0.953,0.953,
0.992,0.992,0.992,0.992,
0.978,0.978,0.978,0.978,
1,1,1,1,
1,1,1,1,
0.995,0.995,0.995,0.995,
0.996,0.996,0.996,0.996,
1,1,1,1,
0.989,0.989,0.989,0.989,
1,1,1,1,
0.996,0.996,0.996,0.996,
0.943,0.943,0.943,0.943,
1,1,1,1,
0.99,0.99,0.99,0.99,
1,1,1,1,
0.988,0.988,0.988,0.988,
0.955,0.955,0.955,0.955,
0.92,0.92,0.92,0.92,
0.953,0.953,0.953,0.953,
0.966,0.966,0.966,0.966,
0.996,0.996,0.996,0.996,
0.979,0.979,0.979,0.979,
1,1,1,1,
1,1,1,1,
0.968,0.968,0.968,0.968,
0.973,0.973,0.973,0.973,
0.991,0.991,0.991,0.991,
1,1,1,1,
0.992,0.992,0.992,0.992,
0.968,0.968,0.968,0.968,
1,1,1,1,
0.989,0.989,0.989,0.989,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.953,0.953,0.953,0.953,
1,1,1,1,
1,1,1,1,
0.938,0.938,0.938,0.938,
0.992,0.992,0.992,0.992,
0.926,0.926,0.926,0.926,
0.968,0.968,0.968,0.968,
1,1,1,1,
0.94,0.94,0.94,0.94,
0.998,0.998,0.998,0.998,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.969,0.969,0.969,0.969,
1,1,1,1,
1,1,1,1,
0.951,0.951,0.951,0.951,
0.946,0.946,0.946,0.946,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.992,0.992,0.992,0.992,
0.983,0.983,0.983,0.983,
0.981,0.981,0.981,0.981,
1,1,1,1,
1,1,1,1,
0.968,0.968,0.968,0.968,
0.977,0.977,0.977,0.977,
0.959,0.959,0.959,0.959,
1,1,1,1,
1,1,1,1,
0.967,0.967,0.967,0.967,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.947,0.947,0.947,0.947,
0.983,0.983,0.983,0.983,
0.953,0.953,0.953,0.953,
0.954,0.954,0.954,0.954,
1,1,1,1,
1,1,1,1,


0.953,0.953,0.953,0.953,
1,1,1,1,
1,1,1,1,
0.966,0.966,0.966,0.966,
0.947,0.947,0.947,0.947,
1,1,1,1,
0.973,0.973,0.973,0.973,
0.955,0.955,0.955,0.955,
0.936,0.936,0.936,0.936,
0.918,0.918,0.918,0.918,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.924,0.924,0.924,0.924,
0.985,0.985,0.985,0.985,
1,1,1,1,
0.982,0.982,0.982,0.982,
0.847,0.847,0.847,0.847,
0.955,0.955,0.955,0.955,
1,1,1,1,
0.996,0.996,0.996,0.996,
0.89,0.89,0.89,0.89,
1,1,1,1,
0.971,0.971,0.971,0.971,
0.986,0.986,0.986,0.986,
0.932,0.932,0.932,0.932,
0.961,0.961,0.961,0.961,
0.987,0.987,0.987,0.987,
0.981,0.981,0.981,0.981,
0.984,0.984,0.984,0.984,
0.955,0.955,0.955,0.955,
0.897,0.897,0.897,0.897,
1,1,1,1,
0.993,0.993,0.993,0.993,
1,1,1,1,
0.979,0.979,0.979,0.979,
0.942,0.942,0.942,0.942,
0.981,0.981,0.981,0.981,
1,1,1,1,
0.945,0.945,0.945,0.945,
1,1,1,1,
0.917,0.917,0.917,0.917,
1,1,1,1,
1,1,1,1,
0.955,0.955,0.955,0.955,
1,1,1,1,
0.954,0.954,0.954,0.954,
0.982,0.982,0.982,0.982,
0.965,0.965,0.965,0.965,
1,1,1,1,
1,1,1,1,
0.968,0.968,0.968,0.968,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.917,0.917,0.917,0.917,
0.943,0.943,0.943,0.943,
0.958,0.958,0.958,0.958,
0.927,0.927,0.927,0.927,
0.965,0.965,0.965,0.965,
0.974,0.974,0.974,0.974,
0.955,0.955,0.955,0.955,
0.958,0.958,0.958,0.958,
1,1,1,1,
0.996,0.996,0.996,0.996,
0.959,0.959,0.959,0.959,
1,1,1,1,
1,1,1,1,
0.962,0.962,0.962,0.962,
0.857,0.857,0.857,0.857,
0.959,0.959,0.959,0.959,
0.999,0.999,0.999,0.999,
0.888,0.888,0.888,0.888,
0.936,0.936,0.936,0.936,
0.907,0.907,0.907,0.907,
0.939,0.939,0.939,0.939,
0.941,0.941,0.941,0.941,
1,1,1,1,
0.983,0.983,0.983,0.983,
0.969,0.969,0.969,0.969,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.917,0.917,0.917,0.917,
0.937,0.937,0.937,0.937,
0.969,0.969,0.969,0.969,
0.95,0.95,0.95,0.95,
0.975,0.975,0.975,0.975,
0.9,0.9,0.9,0.9,
0.99,0.99,0.99,0.99,
0.864,0.864,0.864,0.864,
0.941,0.941,0.941,0.941,
0.945,0.945,0.945,0.945,
0.989,0.989,0.989,0.989,
0.937,0.937,0.937,0.937,
0.98,0.98,0.98,0.98,
0.942,0.942,0.942,0.942,
1,1,1,1,
0.972,0.972,0.972,0.972,
0.962,0.962,0.962,0.962,


0.902,0.902,0.902,0.902,
1,1,1,1,
0.967,0.967,0.967,0.967,
0.981,0.981,0.981,0.981,
0.918,0.918,0.918,0.918,
0.986,0.986,0.986,0.986,
0.904,0.904,0.904,0.904,
0.985,0.985,0.985,0.985,
1,1,1,1,
0.927,0.927,0.927,0.927,
0.965,0.965,0.965,0.965,
0.993,0.993,0.993,0.993,
0.952,0.952,0.952,0.952,
1,1,1,1,
0.976,0.976,0.976,0.976,
1,1,1,1,
0.87,0.87,0.87,0.87,
0.952,0.952,0.952,0.952,
0.956,0.956,0.956,0.956,
1,1,1,1,
0.87,0.87,0.87,0.87,
0.973,0.973,0.973,0.973,
0.961,0.961,0.961,0.961,
1,1,1,1,
0.997,0.997,0.997,0.997,
0.989,0.989,0.989,0.989,
0.957,0.957,0.957,0.957,
0.974,0.974,0.974,0.974,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.994,0.994,0.994,0.994,
0.97,0.97,0.97,0.97,
0.956,0.956,0.956,0.956,
1,1,1,1,
0.97,0.97,0.97,0.97,
0.964,0.964,0.964,0.964,
0.96,0.96,0.96,0.96,
1,1,1,1,
0.988,0.988,0.988,0.988,
0.918,0.918,0.918,0.918,
0.935,0.935,0.935,0.935,
0.962,0.962,0.962,0.962,
0.975,0.975,0.975,0.975,
0.94,0.94,0.94,0.94,
0.932,0.932,0.932,0.932,
0.945,0.945,0.945,0.945,
0.981,0.981,0.981,0.981,
0.956,0.956,0.956,0.956,
0.946,0.946,0.946,0.946,
0.944,0.944,0.944,0.944,
0.94,0.94,0.94,0.94,
0.983,0.983,0.983,0.983,
0.94,0.94,0.94,0.94,
0.987,0.987,0.987,0.987,
0.813,0.813,0.813,0.813,
1,1,1,1,
0.97,0.97,0.97,0.97,
0.963,0.963,0.963,0.963,
0.975,0.975,0.975,0.975,
0.995,0.995,0.995,0.995,
1,1,1,1,
0.992,0.992,0.992,0.992,
0.941,0.941,0.941,0.941,
0.978,0.978,0.978,0.978,
0.957,0.957,0.957,0.957,
0.954,0.954,0.954,0.954,
0.915,0.915,0.915,0.915,
0.906,0.906,0.906,0.906,
0.876,0.876,0.876,0.876,
0.938,0.938,0.938,0.938,
0.969,0.969,0.969,0.969,
0.956,0.956,0.956,0.956,
0.963,0.963,0.963,0.963,
0.972,0.972,0.972,0.972,
0.948,0.948,0.948,0.948,
0.994,0.994,0.994,0.994,
0.999,0.999,0.999,0.999,
0.997,0.997,0.997,0.997,
0.934,0.934,0.934,0.934,
0.956,0.956,0.956,0.956,
0.948,0.948,0.948,0.948,
0.981,0.981,0.981,0.981,
0.833,0.833,0.833,0.833,
0.991,0.991,0.991,0.991,
0.989,0.989,0.989,0.989,
0.9,0.9,0.9,0.9,
0.893,0.893,0.893,0.893,
0.864,0.864,0.864,0.864,
0.969,0.969,0.969,0.969,
0.879,0.879,0.879,0.879,
