

Data analysis for each instance 
AVG,MED,MAX,MIN
12333,12333,12333,12333,
11282,11282,11282,11282,
11215,11215,11215,11215,
14097,14097,14097,14097,
11323,11323,11323,11323,
11090,11090,11090,11090,
11723,11723,11723,11723,
11057,11057,11057,11057,
10801,10801,10801,10801,
12689,12689,12689,12689,
11532,11532,11532,11532,
11442,11442,11442,11442,
12747,12747,12747,12747,
12507,12507,12507,12507,
11278,11278,11278,11278,
11370,11370,11370,11370,
14905,14905,14905,14905,
12696,12696,12696,12696,
13955,13955,13955,13955,
14709,14709,14709,14709,
12702,12702,12702,12702,
14904,14904,14904,14904,
12448,12448,12448,12448,
14622,14622,14622,14622,
10375,10375,10375,10375,
12442,12442,12442,12442,
12942,12942,12942,12942,
11096,11096,11096,11096,
11347,11347,11347,11347,
15463,15463,15463,15463,
14822,14822,14822,14822,
11316,11316,11316,11316,
11975,11975,11975,11975,
10429,10429,10429,10429,
13773,13773,13773,13773,
10345,10345,10345,10345,
11432,11432,11432,11432,
12373,12373,12373,12373,
12348,12348,12348,12348,
11487,11487,11487,11487,
11001,11001,11001,11001,
11927,11927,11927,11927,
11391,11391,11391,11391,
13245,13245,13245,13245,
14559,14559,14559,14559,
12313,12313,12313,12313,
13450,13450,13450,13450,
12461,12461,12461,12461,
11451,11451,11451,11451,
14616,14616,14616,14616,
13383,13383,13383,13383,
12293,12293,12293,12293,
11456,11456,11456,11456,
14521,14521,14521,14521,
11633,11633,11633,11633,
10952,10952,10952,10952,
13389,13389,13389,13389,
11617,11617,11617,11617,
12437,12437,12437,12437,
11534,11534,11534,11534,
11340,11340,11340,11340,
11351,11351,11351,11351,
11972,11972,11972,11972,
11818,11818,11818,11818,
11355,11355,11355,11355,
10284,10284,10284,10284,
16802,16802,16802,16802,
11136,11136,11136,11136,
16431,16431,16431,16431,
12124,12124,12124,12124,
12436,12436,12436,12436,
12186,12186,12186,12186,
12307,12307,12307,12307,
11448,11448,11448,11448,
12762,12762,12762,12762,
10804,10804,10804,10804,
12345,12345,12345,12345,
12422,12422,12422,12422,
10017,10017,10017,10017,
11133,11133,11133,11133,
11409,11409,11409,11409,
13856,13856,13856,13856,
14206,14206,14206,14206,
12064,12064,12064,12064,
10758,10758,10758,10758,
13883,13883,13883,13883,
13896,13896,13896,13896,
10198,10198,10198,10198,
14731,14731,14731,14731,
11948,11948,11948,11948,
13189,13189,13189,13189,
10805,10805,10805,10805,
11493,11493,11493,11493,
10673,10673,10673,10673,
17226,17226,17226,17226,
14627,14627,14627,14627,
10960,10960,10960,10960,
12446,12446,12446,12446,
11684,11684,11684,11684,
11774,11774,11774,11774,
9489,9489,9489,9489,
11495,11495,11495,11495,
12675,12675,12675,12675,
10380,10380,10380,10380,
13214,13214,13214,13214,
13146,13146,13146,13146,
13630,13630,13630,13630,
12224,12224,12224,12224,
10698,10698,10698,10698,
10985,10985,10985,10985,
24736,24736,24736,24736,
11685,11685,11685,11685,
10773,10773,10773,10773,
14799,14799,14799,14799,
10625,10625,10625,10625,
10503,10503,10503,10503,
10970,10970,10970,10970,
13300,13300,13300,13300,
10397,10397,10397,10397,
11676,11676,11676,11676,
11991,11991,11991,11991,
14465,14465,14465,14465,
11196,11196,11196,11196,
14369,14369,14369,14369,
11609,11609,11609,11609,
14203,14203,14203,14203,
11237,11237,11237,11237,
12121,12121,12121,12121,
11437,11437,11437,11437,
11164,11164,11164,11164,
11151,11151,11151,11151,
11478,11478,11478,11478,
12299,12299,12299,12299,
11557,11557,11557,11557,
10366,10366,10366,10366,
10779,10779,10779,10779,
11998,11998,11998,11998,
11253,11253,11253,11253,
13743,13743,13743,13743,
11288,11288,11288,11288,
11865,11865,11865,11865,
12249,12249,12249,12249,
11870,11870,11870,11870,
11969,11969,11969,11969,
14439,14439,14439,14439,
11625,11625,11625,11625,
13297,13297,13297,13297,
11590,11590,11590,11590,
12415,12415,12415,12415,
14648,14648,14648,14648,
13424,13424,13424,13424,
13083,13083,13083,13083,
14447,14447,14447,14447,
13567,13567,13567,13567,
11248,11248,11248,11248,
13796,13796,13796,13796,
11276,11276,11276,11276,
11833,11833,11833,11833,
9997,9997,9997,9997,
18009,18009,18009,18009,
11306,11306,11306,11306,
15633,15633,15633,15633,
12693,12693,12693,12693,
11092,11092,11092,11092,
13383,13383,13383,13383,
16326,16326,16326,16326,
13258,13258,13258,13258,
10399,10399,10399,10399,
12525,12525,12525,12525,
12804,12804,12804,12804,
12540,12540,12540,12540,
12022,12022,12022,12022,
10875,10875,10875,10875,
13268,13268,13268,13268,
11168,11168,11168,11168,
11546,11546,11546,11546,
11952,11952,11952,11952,
12076,12076,12076,12076,
10370,10370,10370,10370,
13456,13456,13456,13456,
13443,13443,13443,13443,
10214,10214,10214,10214,
12143,12143,12143,12143,
