

Data analysis for each instance 
AVG,MED,MAX,MIN
0.072,0.072,0.072,0.072,
0.017,0.017,0.017,0.017,
0.022,0.022,0.022,0.022,
-0.001,-0.001,-0.001,-0.001,
0.014,0.014,0.014,0.014,
-0.024,-0.024,-0.024,-0.024,
0.009,0.009,0.009,0.009,
0.011,0.011,0.011,0.011,
-0.033,-0.033,-0.033,-0.033,
0.032,0.032,0.032,0.032,
-0.006,-0.006,-0.006,-0.006,
0.011,0.011,0.011,0.011,
0.013,0.013,0.013,0.013,
-0.037,-0.037,-0.037,-0.037,
0.006,0.006,0.006,0.006,
-0.036,-0.036,-0.036,-0.036,
0.135,0.135,0.135,0.135,
0.011,0.011,0.011,0.011,
0.009,0.009,0.009,0.009,
0.087,0.087,0.087,0.087,
0.036,0.036,0.036,0.036,
0.022,0.022,0.022,0.022,
0.009,0.009,0.009,0.009,
0.052,0.052,0.052,0.052,
-0.002,-0.002,-0.002,-0.002,
0.028,0.028,0.028,0.028,
0.015,0.015,0.015,0.015,
0.036,0.036,0.036,0.036,
0.016,0.016,0.016,0.016,
0.001,0.001,0.001,0.001,
-0.001,-0.001,-0.001,-0.001,
0.007,0.007,0.007,0.007,
0.019,0.019,0.019,0.019,
0.009,0.009,0.009,0.009,
0.022,0.022,0.022,0.022,
0.044,0.044,0.044,0.044,
0.007,0.007,0.007,0.007,
-0.001,-0.001,-0.001,-0.001,
0.044,0.044,0.044,0.044,
0.031,0.031,0.031,0.031,
0.019,0.019,0.019,0.019,
0.005,0.005,0.005,0.005,
0.015,0.015,0.015,0.015,
0.049,0.049,0.049,0.049,
0.016,0.016,0.016,0.016,
0.034,0.034,0.034,0.034,
0.062,0.062,0.062,0.062,
0.003,0.003,0.003,0.003,
0.003,0.003,0.003,0.003,
0.035,0.035,0.035,0.035,
-0.01,-0.01,-0.01,-0.01,
-0.004,-0.004,-0.004,-0.004,
-0.015,-0.015,-0.015,-0.015,
0.028,0.028,0.028,0.028,
0.019,0.019,0.019,0.019,
0.013,0.013,0.013,0.013,
0.013,0.013,0.013,0.013,
0.008,0.008,0.008,0.008,
0.02,0.02,0.02,0.02,
0.028,0.028,0.028,0.028,
0.036,0.036,0.036,0.036,
0.009,0.009,0.009,0.009,
0.006,0.006,0.006,0.006,
-0.004,-0.004,-0.004,-0.004,
-0.011,-0.011,-0.011,-0.011,
0,0,0,0,
0.021,0.021,0.021,0.021,
0.007,0.007,0.007,0.007,
0.03,0.03,0.03,0.03,
0.008,0.008,0.008,0.008,
-0.025,-0.025,-0.025,-0.025,
-0.001,-0.001,-0.001,-0.001,
-0.02,-0.02,-0.02,-0.02,
0.043,0.043,0.043,0.043,
0.019,0.019,0.019,0.019,
0.022,0.022,0.022,0.022,
0.014,0.014,0.014,0.014,
0.038,0.038,0.038,0.038,
0.008,0.008,0.008,0.008,
-0.017,-0.017,-0.017,-0.017,
0.053,0.053,0.053,0.053,
-0.003,-0.003,-0.003,-0.003,
-0.034,-0.034,-0.034,-0.034,
-0.007,-0.007,-0.007,-0.007,
0.035,0.035,0.035,0.035,
0.013,0.013,0.013,0.013,
0.058,0.058,0.058,0.058,
0.008,0.008,0.008,0.008,
0.02,0.02,0.02,0.02,
0.034,0.034,0.034,0.034,
0.02,0.02,0.02,0.02,
-0.016,-0.016,-0.016,-0.016,
0.019,0.019,0.019,0.019,
0.058,0.058,0.058,0.058,
0.065,0.065,0.065,0.065,
0.014,0.014,0.014,0.014,
0.027,0.027,0.027,0.027,
0.028,0.028,0.028,0.028,
0.009,0.009,0.009,0.009,
-0.014,-0.014,-0.014,-0.014,


-0.031,-0.031,-0.031,-0.031,
-0.004,-0.004,-0.004,-0.004,
0.003,0.003,0.003,0.003,
-0.008,-0.008,-0.008,-0.008,
0.026,0.026,0.026,0.026,
0.026,0.026,0.026,0.026,
-0.01,-0.01,-0.01,-0.01,
-0.021,-0.021,-0.021,-0.021,
0.058,0.058,0.058,0.058,
0,0,0,0,
0.005,0.005,0.005,0.005,
-0.034,-0.034,-0.034,-0.034,
-0.021,-0.021,-0.021,-0.021,
0.057,0.057,0.057,0.057,
-0.002,-0.002,-0.002,-0.002,
0.045,0.045,0.045,0.045,
0,0,0,0,
0.035,0.035,0.035,0.035,
-0.03,-0.03,-0.03,-0.03,
-0.039,-0.039,-0.039,-0.039,
0.02,0.02,0.02,0.02,
-0.019,-0.019,-0.019,-0.019,
-0.003,-0.003,-0.003,-0.003,
-0.029,-0.029,-0.029,-0.029,
-0.014,-0.014,-0.014,-0.014,
0,0,0,0,
-0.013,-0.013,-0.013,-0.013,
0.013,0.013,0.013,0.013,
0.003,0.003,0.003,0.003,
0.001,0.001,0.001,0.001,
-0.048,-0.048,-0.048,-0.048,
-0.024,-0.024,-0.024,-0.024,
-0.019,-0.019,-0.019,-0.019,
-0.005,-0.005,-0.005,-0.005,
0.002,0.002,0.002,0.002,
0.039,0.039,0.039,0.039,
0.014,0.014,0.014,0.014,
0.004,0.004,0.004,0.004,
0.017,0.017,0.017,0.017,
-0.014,-0.014,-0.014,-0.014,
0.001,0.001,0.001,0.001,
0.018,0.018,0.018,0.018,
